['SirJellyTheTrueVampireSniffer', 'QueenBarneyTheMightyZombieEater', 'QueenBarneyTheMightyDragonSniffer', 'MasterJellyTheGreatDragonHunter', 'DuchessShadowTheTrueVampireFinder', 'DuchessBarneyTheBraveZombieMaker', 'QueenFluffyTheMightyVampireEater', 'DukeFluffyTheMightyZombieFinder', 'MasterTrinityTheHeroicDragonHunter', 'LordJellyTheTrueMonsterMaker', 'MasterBarneyTheHeroicVampireMaker', 'DuchessBarneyTheGreatDragonMaker', 'SirFluffyTheGreatMonsterHunter', 'QueenFluffyTheMightyRobotEater', 'MasterBarneyTheGreatDragonEater', 'LordFluffyTheTrueMonsterSniffer', 'MasterJellyTheGreatZombieHunter', 'QueenSushiTheTrueVampireEater', 'QueenBeetleTheGreatMonsterFinder', 'MasterSushiTheBraveDragonFinder']
['QueenTrinityTheTrueMonsterMaker', 'LordSushiTheGreatRobotHunter', 'MasterTrinityTheHeroicDragonMaker', 'MasterFluffyTheTrueMonsterFinder', 'QueenTrinityTheGreatMonsterHunter', 'MadameTrinityTheBraveZombieSniffer', 'SirSushiTheTrueRobotFinder', 'QueenBeetleTheBraveZombieFinder', 'MadameBarneyTheGreatRobotEater', 'QueenSushiTheMightyVampireEater', 'DukeTrinityTheGreatDragonFinder', 'DukeBeetleTheGreatDragonHunter', 'SirJellyTheTrueDragonHunter', 'DuchessBarneyTheGreatMonsterFinder', 'MadameSushiTheBraveRobotSniffer', 'MasterSushiTheHeroicRobotHunter', 'MasterFluffyTheBraveRobotHunter', 'DuchessJellyTheHeroicMonsterHunter', 'QueenBarneyTheGreatRobotEater', 'MadameBarneyTheTrueMonsterFinder']
['SirJellyTheTrueVampireFinder', 'MasterBarneyTheTrueVampireSniffer', 'MadameTrinityTheBraveMonsterSniffer', 'DuchessBarneyTheGreatDragonHunter', 'MadameSushiTheGreatVampireSniffer', 'SirBarneyTheGreatMonsterHunter', 'DuchessJellyTheHeroicVampireMaker', 'QueenJellyTheMightyZombieFinder', 'SirJellyTheGreatZombieMaker', 'DukeShadowTheTrueMonsterEater', 'DukeShadowTheHeroicDragonEater', 'DukeSushiTheHeroicZombieHunter', 'SirFluffyTheTrueRobotHunter', 'MasterTrinityTheMightyMonsterMaker', 'DuchessTrinityTheGreatMonsterFinder', 'MasterTrinityTheHeroicRobotFinder', 'QueenTrinityTheBraveMonsterHunter', 'MadameTrinityTheGreatMonsterMaker', 'MasterBeetleTheTrueVampireHunter', 'QueenTrinityTheMightyMonsterHunter']
['QueenSushiTheTrueVampireMaker', 'SirTrinityTheHeroicVampireFinder', 'LordFluffyTheGreatMonsterHunter', 'DukeBarneyTheHeroicRobotHunter', 'QueenTrinityTheBraveRobotSniffer', 'DuchessBarneyTheTrueDragonHunter', 'MasterBeetleTheGreatDragonSniffer', 'QueenShadowTheHeroicZombieFinder', 'LordJellyTheBraveMonsterFinder', 'LordSushiTheHeroicRobotMaker', 'MadameShadowTheMightyZombieFinder', 'MadameBeetleTheTrueMonsterSniffer', 'DuchessBeetleTheHeroicZombieEater', 'MadameJellyTheTrueVampireHunter', 'SirShadowTheTrueVampireFinder', 'SirSushiTheBraveZombieEater', 'LordFluffyTheHeroicMonsterHunter', 'QueenBarneyTheMightyRobotFinder', 'LordSushiTheTrueMonsterEater', 'DukeJellyTheBraveZombieFinder']
['MadameSushiTheHeroicDragonEater', 'SirFluffyTheTrueVampireSniffer', 'DukeSushiTheMightyVampireEater', 'DuchessJellyTheGreatMonsterSniffer', 'MadameJellyTheHeroicDragonEater', 'LordFluffyTheMightyMonsterSniffer', 'SirTrinityTheTrueDragonEater', 'LordBarneyTheBraveDragonSniffer', 'DuchessFluffyTheGreatRobotHunter', 'DuchessJellyTheMightyDragonMaker', 'DukeBeetleTheTrueZombieFinder', 'MadameShadowTheBraveZombieHunter', 'MadameJellyTheBraveDragonHunter', 'QueenShadowTheTrueMonsterFinder', 'QueenTrinityTheMightyVampireMaker', 'SirSushiTheTrueZombieFinder', 'MadameTrinityTheGreatDragonSniffer', 'QueenJellyTheHeroicRobotHunter', 'SirJellyTheGreatVampireHunter', 'MadameJellyTheGreatZombieMaker']
['MadameJellyTheTrueMonsterHunter', 'SirShadowTheTrueMonsterEater', 'SirFluffyTheHeroicZombieSniffer', 'DuchessSushiTheTrueMonsterSniffer', 'LordShadowTheBraveVampireFinder', 'QueenTrinityTheGreatDragonHunter', 'LordBarneyTheMightyRobotFinder', 'SirTrinityTheBraveZombieMaker', 'LordShadowTheBraveZombieSniffer', 'LordBarneyTheHeroicRobotSniffer', 'MasterFluffyTheMightyMonsterMaker', 'DukeJellyTheGreatMonsterSniffer', 'DukeJellyTheHeroicRobotSniffer', 'DuchessFluffyTheGreatDragonEater', 'MasterTrinityTheMightyVampireMaker', 'MadameSushiTheMightyMonsterEater', 'DuchessBarneyTheBraveMonsterEater', 'DukeFluffyTheTrueVampireMaker', 'LordTrinityTheMightyDragonEater', 'LordTrinityTheGreatMonsterEater']
['LordJellyTheMightyRobotEater', 'LordJellyTheBraveDragonEater', 'MasterJellyTheBraveDragonHunter', 'QueenTrinityTheBraveZombieHunter', 'MasterTrinityTheBraveMonsterEater', 'LordFluffyTheMightyVampireSniffer', 'DukeTrinityTheGreatDragonEater', 'MasterTrinityTheBraveDragonHunter', 'DukeBeetleTheTrueMonsterEater', 'QueenJellyTheHeroicZombieSniffer', 'MadameShadowTheHeroicMonsterMaker', 'MadameShadowTheGreatRobotHunter', 'LordBarneyTheBraveVampireHunter', 'QueenJellyTheBraveMonsterMaker', 'DukeShadowTheGreatMonsterEater', 'SirTrinityTheBraveMonsterHunter', 'SirFluffyTheMightyZombieMaker', 'LordSushiTheGreatMonsterSniffer', 'QueenShadowTheBraveVampireMaker', 'LordFluffyTheGreatVampireSniffer']
['LordBeetleTheGreatZombieSniffer', 'SirJellyTheHeroicVampireEater', 'DukeShadowTheBraveRobotHunter', 'SirJellyTheBraveZombieFinder', 'DuchessShadowTheTrueZombieHunter', 'QueenBarneyTheGreatVampireEater', 'MadameShadowTheBraveRobotEater', 'DuchessJellyTheHeroicDragonSniffer', 'SirShadowTheBraveZombieMaker', 'MadameFluffyTheBraveRobotFinder', 'SirFluffyTheBraveZombieFinder', 'MadameSushiTheMightyVampireHunter', 'MasterBarneyTheHeroicZombieMaker', 'DukeSushiTheTrueVampireMaker', 'SirShadowTheMightyMonsterSniffer', 'MasterSushiTheTrueZombieFinder', 'SirFluffyTheBraveRobotHunter', 'MadameJellyTheTrueZombieHunter', 'MasterBarneyTheHeroicDragonEater', 'DuchessSushiTheGreatRobotSniffer']
['SirBarneyTheBraveVampireMaker', 'QueenTrinityTheTrueRobotMaker', 'QueenBeetleTheBraveMonsterMaker', 'LordJellyTheMightyMonsterFinder', 'SirShadowTheGreatDragonHunter', 'DuchessBarneyTheMightyMonsterSniffer', 'LordBeetleTheHeroicZombieFinder', 'SirJellyTheGreatDragonFinder', 'SirSushiTheTrueRobotEater', 'DuchessShadowTheHeroicVampireSniffer', 'DukeShadowTheBraveRobotFinder', 'LordFluffyTheGreatDragonHunter', 'QueenTrinityTheMightyZombieHunter', 'DuchessSushiTheHeroicDragonFinder', 'SirFluffyTheBraveMonsterSniffer', 'MadameBarneyTheMightyZombieEater', 'DukeFluffyTheHeroicVampireFinder', 'SirShadowTheGreatRobotSniffer', 'DukeBeetleTheHeroicMonsterFinder', 'MasterJellyTheHeroicZombieEater']
['SirBeetleTheTrueMonsterMaker', 'SirTrinityTheTrueMonsterMaker', 'SirBeetleTheBraveZombieMaker', 'SirBeetleTheHeroicDragonHunter', 'QueenTrinityTheBraveZombieFinder', 'LordFluffyTheBraveZombieFinder', 'SirTrinityTheGreatDragonFinder', 'DuchessShadowTheBraveDragonSniffer', 'MasterBeetleTheHeroicRobotMaker', 'SirBarneyTheTrueZombieEater', 'QueenTrinityTheBraveVampireEater', 'MasterFluffyTheTrueDragonFinder', 'MadameSushiTheBraveVampireSniffer', 'DuchessShadowTheHeroicDragonHunter', 'DukeBarneyTheTrueZombieEater', 'MasterTrinityTheGreatMonsterSniffer', 'QueenTrinityTheHeroicRobotSniffer', 'LordFluffyTheGreatZombieHunter', 'SirSushiTheGreatRobotEater', 'DukeBarneyTheHeroicRobotFinder']
['DukeBarneyTheGreatVampireHunter', 'MadameTrinityTheHeroicZombieFinder', 'SirBeetleTheMightyVampireFinder', 'MadameTrinityTheBraveZombieEater', 'DukeTrinityTheGreatDragonHunter', 'QueenJellyTheGreatZombieMaker', 'LordTrinityTheHeroicMonsterSniffer', 'DuchessBarneyTheBraveMonsterMaker', 'QueenTrinityTheHeroicVampireMaker', 'SirShadowTheBraveRobotHunter', 'LordShadowTheHeroicDragonSniffer', 'QueenBeetleTheHeroicMonsterSniffer', 'LordSushiTheBraveDragonSniffer', 'MasterBeetleTheMightyVampireMaker', 'LordBeetleTheBraveDragonFinder', 'QueenTrinityTheGreatVampireEater', 'LordBarneyTheHeroicVampireHunter', 'DuchessShadowTheTrueZombieSniffer', 'QueenJellyTheHeroicVampireHunter', 'SirTrinityTheMightyVampireEater']
['DuchessJellyTheTrueDragonHunter', 'MadameBeetleTheTrueZombieMaker', 'MasterFluffyTheGreatDragonEater', 'DuchessFluffyTheGreatRobotEater', 'MadameShadowTheGreatDragonEater', 'LordJellyTheBraveVampireHunter', 'QueenTrinityTheHeroicDragonFinder', 'MasterSushiTheMightyMonsterEater', 'DukeBarneyTheHeroicZombieEater', 'DukeSushiTheGreatZombieFinder', 'QueenBeetleTheGreatDragonSniffer', 'LordTrinityTheHeroicVampireEater', 'DuchessBarneyTheBraveZombieHunter', 'MadameJellyTheBraveVampireEater', 'MadameSushiTheHeroicZombieFinder', 'QueenBarneyTheMightyZombieMaker', 'LordBeetleTheHeroicMonsterMaker', 'DuchessBarneyTheMightyVampireHunter', 'DuchessBeetleTheTrueZombieHunter', 'MadameShadowTheMightyVampireEater']
['SirBarneyTheTrueDragonMaker', 'SirSushiTheMightyDragonEater', 'SirFluffyTheTrueZombieHunter', 'SirTrinityTheBraveRobotHunter', 'SirTrinityTheGreatRobotFinder', 'LordJellyTheGreatVampireSniffer', 'DukeTrinityTheGreatMonsterEater', 'MasterShadowTheTrueZombieEater', 'SirBeetleTheGreatZombieFinder', 'DuchessShadowTheMightyVampireHunter', 'DukeShadowTheGreatDragonEater', 'MasterFluffyTheTrueMonsterEater', 'QueenBarneyTheGreatVampireSniffer', 'QueenTrinityTheBraveRobotFinder', 'DuchessFluffyTheBraveVampireSniffer', 'DuchessBeetleTheMightyMonsterFinder', 'MadameShadowTheBraveVampireFinder', 'MasterShadowTheHeroicVampireSniffer', 'MadameFluffyTheTrueZombieFinder', 'MadameBeetleTheBraveVampireFinder']
['QueenShadowTheBraveRobotEater', 'LordTrinityTheBraveVampireMaker', 'SirShadowTheMightyDragonMaker', 'LordJellyTheBraveVampireSniffer', 'DuchessBeetleTheMightyMonsterEater', 'MasterShadowTheMightyZombieEater', 'SirBeetleTheGreatZombieEater', 'DuchessTrinityTheTrueMonsterHunter', 'DukeShadowTheMightyVampireEater', 'MadameJellyTheHeroicZombieEater', 'LordSushiTheHeroicVampireMaker', 'DukeSushiTheTrueDragonHunter', 'SirShadowTheBraveMonsterMaker', 'DuchessSushiTheGreatVampireEater', 'QueenBeetleTheGreatDragonMaker', 'MadameShadowTheHeroicMonsterEater', 'MasterBeetleTheBraveDragonSniffer', 'MasterBarneyTheTrueVampireEater', 'MasterFluffyTheMightyDragonMaker', 'MasterShadowTheMightyMonsterFinder']
['DukeBeetleTheHeroicVampireSniffer', 'SirJellyTheBraveRobotHunter', 'MasterShadowTheBraveRobotEater', 'SirTrinityTheHeroicRobotSniffer', 'SirJellyTheHeroicMonsterMaker', 'QueenShadowTheMightyMonsterMaker', 'MasterFluffyTheMightyRobotEater', 'MasterShadowTheMightyMonsterSniffer', 'MasterBeetleTheTrueZombieSniffer', 'MasterFluffyTheMightyZombieHunter', 'MasterBarneyTheTrueZombieEater', 'LordTrinityTheTrueZombieHunter', 'QueenTrinityTheHeroicDragonHunter', 'DuchessBeetleTheTrueZombieSniffer', 'LordSushiTheGreatDragonSniffer', 'QueenFluffyTheTrueZombieHunter', 'LordBeetleTheGreatRobotSniffer', 'QueenJellyTheTrueMonsterMaker', 'DuchessBeetleTheTrueZombieFinder']
