['D65E29', '3D046E', 'FB3B86', '26DA83', 'C96CD6', 'B8B01F', '6DCBC8', '15AA36', 'CC9A13', 'E0044F', '5D4F2F', '068D28', 'CC4384', '46371B', '5C91EE', '593AF4', 'A03FB7', '6E3DED', 'D78532', '3E6399']
['7647CD', 'C07CCC', 'F8B91A', '0CFFC9', 'F85131', 'A911EF', 'A5F27A', '848C87', 'D50881', '219F75', 'E8C5B8', '718436', 'F9EB1F', '552199', '55B952', '865328', 'C34593', '82F466', '9FCB42', 'CC08F5']
['22394B', '10BBE1', 'BB986B', 'DBF47C', '1FBE40', '7848BA', 'E492E0', '861E09', '2F584A', 'EF37A6', '0AC7A0', '1E571E', 'C19610', 'B0F05D', '672145', 'EB90EE', 'AB96B9', '80F9BC', '1CAAAC', 'DB6CBF']
['5C016B', 'A0DDCD', 'E7EFA5', '30C157', 'D9180C', '54C37C', '9D8AD8', 'B6ACFC', '77EB41', 'D2EB79', '4AC817', 'CED5FC', '5A681E', '52BFE5', '6C3CD5', 'C69699', '5F88E7', 'EE9200', '0B99EF', 'A1D29E']
['33ABEE', '3228BB', '99392B', '00CD58', '6833E8', '1600AD', '01E026', '83752D', '72D023', '9C0B9D', 'F3EDD7', 'E8A38A', 'C9EF6D', '3A0D10', '34ACF3', 'D324E7', '5C4F81', '4E8355', '935873', 'AAAF0B']
['5ABFA9', '5332A9', 'F37211', '71AC6D', '511040', '9C5DCF', 'BC38A8', 'B4257C', '420711', 'B38307', '5E4F6B', 'FAB638', '4FCF52', 'E77DD8', 'F7F9CB', 'D78522', '36FCBF', '9CE56C', '8D43AD', '1D216B']
['62BC31', '26B294', '9D6554', 'BE5B1D', 'BB9072', '5C0D69', '49EEB4', 'D98FB6', 'C0A19A', '5AF312', '4D74EB', 'D2F8E5', '4C1D36', 'C54164', 'AD6105', '9ABAFB', '7B306C', '6D4C8F', 'CA893B', '1E0B30']
['73271F', 'F61AD7', 'A34095', '99E133', 'BA6187', '7AADBC', '43F505', 'C60FE7', '3E7F60', '8F75EC', '52FB79', 'FC75E7', '628552', '1D528C', '39CAB7', '0525B9', '8BEC15', '920715', '81DA52', '66547C']
['F13455', '05473A', 'DF44F5', 'DDB7C8', '992AEE', '326662', 'C8F1A7', '1656DC', '95F017', '1743CD', 'D049CD', '26C6B9', '5BEDDF', '7CC3A7', '03B42D', '5A5DE8', '66B93A', '770A4C', 'FCD63D', '85CFC7']
['A89402', '89372A', '1330B3', '6BF4D3', '49EB71', '1866E0', 'D31361', '605983', '81E0FA', 'AC34B5', 'CBE0EA', 'D0E36A', 'FECCAB', 'E33128', 'E1A380', 'C0EA59', '2819EE', '917501', 'EEF23E', '31B17E']
['273165', 'D6DD9E', '5BC875', '1F6554', 'B56D74', '7C730C', '206150', '26DB4C', 'F33ACF', 'C3678B', '6EEE66', '94AED5', 'B85F11', 'ABE83F', '81A856', 'E93252', '98497D', 'B0C2D3', '71AE93', '34E9FE']
['A4FCD1', 'E479C8', '94C20E', 'EB3718', 'B2A692', 'DBDDB5', '2C02B7', '3B6837', 'D8849E', 'D8492F', '9C4CA5', '69FD70', '19EFAF', '6D4DDC', '30EA83', '5451FF', '893D61', '2961DB', '4A32EA', 'CE0D10']
