['0', '63', '220', '999', '782', '547', '663', '188', '435', '735']
['34', '108', '518', '650', '926', '570', '66', '317', '605', '882']
['721', '806', '182', '279', '813', '784', '68', '318', '606', '884']
['466', '305', '932', '836', '418', '572', '71', '319', '610', '891']
['35', '109', '183', '335', '889', '956', '72', '322', '613', '892']
['992', '737', '607', '283', '535', '598', '74', '325', '617', '896']
['569', '110', '186', '284', '421', '577', '75', '337', '627', '899']
['413', '445', '559', '286', '779', '585', '78', '338', '628', '901']
['36', '811', '822', '503', '897', '727', '80', '340', '629', '903']
['511', '869', '984', '288', '425', '586', '82', '342', '631', '905']
['37', '112', '189', '821', '661', '951', '86', '343', '632', '906']
['871', '781', '964', '289', '722', '588', '88', '344', '634', '907']
['38', '113', '191', '416', '436', '590', '89', '348', '638', '910']
['525', '687', '334', '296', '674', '697', '93', '350', '643', '912']
['963', '115', '193', '400', '865', '814', '94', '357', '652', '916']
['39', '923', '969', '297', '981', '952', '96', '360', '655', '917']
['601', '117', '196', '422', '443', '928', '97', '361', '660', '921']
['267', '620', '715', '298', '464', '600', '98', '362', '662', '925']
['41', '732', '198', '851', '757', '799', '99', '365', '664', '929']
['786', '118', '200', '299', '450', '615', '100', '367', '668', '931']
['42', '171', '345', '304', '719', '832', '104', '368', '670', '934']
['264', '120', '205', '573', '645', '609', '111', '369', '672', '938']
['43', '936', '519', '315', '453', '763', '114', '372', '673', '942']
['854', '404', '206', '624', '636', '611', '116', '374', '675', '945']
['47', '123', '414', '320', '456', '625', '119', '375', '677', '947']
['76', '723', '395', '321', '900', '618', '121', '376', '679', '948']
['789', '124', '381', '895', '458', '619', '125', '377', '683', '950']
['50', '867', '331', '323', '728', '998', '128', '378', '685', '958']
['682', '561', '920', '785', '459', '764', '133', '379', '688', '959']
['493', '127', '209', '324', '768', '960', '134', '382', '693', '966']
['51', '227', '870', '371', '461', '635', '137', '384', '694', '967']
['287', '791', '211', '326', '706', '994', '139', '386', '696', '968']
['52', '640', '245', '551', '740', '908', '144', '390', '701', '971']
['351', '130', '214', '327', '467', '790', '145', '391', '703', '974']
['55', '909', '437', '868', '975', '641', '147', '397', '704', '976']
['622', '131', '505', '329', '471', '856', '149', '401', '705', '977']
['56', '212', '392', '393', '472', '642', '150', '402', '708', '982']
['738', '352', '820', '730', '532', '646', '151', '405', '709', '983']
['57', '132', '221', '332', '473', '970', '155', '407', '710', '985']
['810', '659', '281', '800', '474', '651', '157', '417', '714', '986']
['58', '294', '898', '487', '826', '698', '163', '420', '716', '987']
['165', '135', '224', '536', '475', '653', '164', '423', '717', '988']
['60', '136', '415', '957', '711', '654', '167', '427', '720', '990']
['760', '496', '434', '333', '477', '657', '175', '428', '725', '995']
['61', '850', '736', '589', '595', '954', '184', '430', '729', '996']
['412', '138', '226', '692', '483', '658', '185', '433', '734', '997']
