['223', '882', '498', '711', '460', '565', '486', '254', '435', '338']
['239', '885', '639', '277', '414', '807', '59', '954', '829', '121']
['929', '528', '720', '16', '473', '483', '296', '79', '553', '504']
['390', '333', '308', '590', '13', '669', '533', '670', '197', '836']
['450', '880', '331', '650', '567', '913', '491', '500', '612', '863']
['749', '540', '149', '623', '986', '267', '469', '369', '42', '196']
['262', '655', '134', '393', '44', '66', '494', '100', '914', '989']
['297', '940', '49', '827', '737', '924', '418', '398', '183', '916']
['637', '589', '921', '717', '939', '104', '305', '969', '411', '769']
['283', '408', '219', '400', '329', '604', '520', '300', '728', '268']
['534', '768', '152', '936', '209', '241', '578', '203', '760', '442']
['702', '206', '201', '372', '428', '868', '934', '379', '554', '298']
['759', '581', '910', '420', '90', '731', '505', '474', '58', '456']
['588', '764', '75', '352', '564', '551', '672', '867', '247', '445']
['76', '537', '419', '532', '237', '349', '560', '583', '975', '750']
['468', '234', '884', '521', '458', '660', '721', '412', '449', '818']
['489', '864', '61', '187', '215', '541', '605', '292', '368', '897']
['919', '453', '645', '804', '148', '478', '3', '301', '265', '255']
['974', '680', '786', '883', '25', '599', '527', '775', '257', '806']
['303', '592', '36', '516', '271', '22', '860', '525', '790', '328']
['321', '809', '857', '828', '726', '626', '429', '887', '643', '261']
['953', '299', '606', '996', '495', '681', '35', '185', '371', '920']
['879', '503', '392', '92', '978', '163', '407', '970', '461', '47']
['691', '508', '791', '431', '15', '34', '153', '705', '54', '290']
['332', '374', '113', '99', '97', '33', '696', '530', '767', '787']
['387', '256', '364', '19', '810', '518', '507', '391', '694', '366']
['666', '999', '952', '738', '101', '345', '889', '686', '656', '894']
['846', '0', '983', '325', '123', '416', '470', '665', '192', '966']
['224', '218', '475', '380', '194', '684', '319', '509', '779', '154']
['93', '662', '81', '441', '902', '951', '214', '160', '601', '971']
['141', '263', '950', '886', '41', '900', '394', '960', '229', '357']
['619', '472', '871', '557', '115', '124', '396', '801', '127', '318']
['410', '385', '343', '126', '10', '748', '439', '959', '632', '545']
['542', '571', '266', '673', '401', '165', '236', '384', '675', '961']
['24', '9', '280', '279', '938', '566', '998', '561', '189', '994']
['842', '636', '484', '861', '843', '446', '649', '577', '610', '159']
['635', '272', '74', '200', '459', '967', '118', '84', '582', '830']
['514', '956', '575', '958', '988', '597', '562', '180', '851', '217']
['703', '624', '646', '287', '890', '493', '841', '156', '552', '535']
['434', '631', '424', '627', '454', '57', '621', '874', '452', '91']
['609', '845', '316', '448', '657', '932', '598', '334', '11', '550']
['955', '923', '695', '569', '693', '367', '614', '143', '132', '244']
['905', '573', '792', '904', '291', '903', '512', '330', '757', '354']
['210', '618', '179', '351', '835', '476', '337', '5', '746', '816']
['536', '502', '789', '778', '38', '70', '230', '359', '198', '523']
['755', '949', '376', '140', '356', '190', '488', '360', '37', '683']
['563', '752', '741', '427', '909', '273', '982', '69', '39', '875']
['355', '173', '700', '80', '176', '378', '313', '145', '114', '754']
['139', '213', '865', '987', '756', '399', '222', '558', '40', '246']
['878', '785', '52', '873', '108', '365', '633', '780', '579', '689']
['83', '848', '907', '258', '172', '580', '837', '586', '167', '976']
