['A0', 'E83', 'D83']
['B31', 'H72', 'F114']
['C31', 'A73', 'G114']
['D31', 'B73', 'H114']
['E31', 'C73', 'A115']
['F31', 'D73', 'B115']
['G31', 'E73', 'C115']
['H31', 'F73', 'D115']
['A32', 'G73', 'F32']
['B32', 'H73', 'F115']
['C32', 'G115', 'E115']
['B74', 'H115', 'A74']
['E32', 'C74', 'D32']
['D74', '1', 'E74']
['G32', '2']
['H32', 'F74', '3']
['A33', 'G74', '4']
['B33', 'H74', '5']
['C33', 'A75', '6']
['D33', 'B75', '7']
['E33', 'C75', '8']
['F33', 'D75', '9']
['G33', 'E75', '10']
['H33', 'F75', '11']
['A34', 'G75', '12']
['B34', 'H75', '13']
['C34', 'A76', '14']
['D34', 'B76', '15']
['E34', 'C76', '16']
['F34', 'D76', '17']
['G34', 'E76', '18']
['H34', 'F76', '19']
['A35', 'G76', '20']
['B35', 'H76', '21']
['C35', 'A77', '22']
['D35', 'B77', '23']
['E35', 'C77', '24']
['F35', 'D77', '25']
['G35', 'E77', '26']
['H35', 'F77', '27']
['A36', 'G77', '28']
['B36', 'H77', '29']
['C36', 'A78', '30']
['D36', 'B78', '31']
['E36', 'C78', '32']
['F36', 'D78', '33']
['G36', 'E78', '34']
['H36', 'F78', '35']
['A37', 'G78', '36']
['B37', 'H78', '37']
['C37', 'A79', '38']
['D37', 'B79', '39']
['E37', 'C79', '40']
['F37', 'D79', '41']
['G37', 'E79', '42']
['H37', 'F79', '43']
['A38', 'G79', '44']
['B38', 'H79', '45']
['C38', '46', '0']
['B80', '47', 'A80']
['E38', 'C80', 'D38']
['F38', 'D80', '49']
['G38', 'E80', '50']
['H38', 'F80', '51']
['A39', 'G80', '52']
['B39', 'H80', '53']
['C39', 'A81', '54']
['D39', 'B81', '55']
['E39', 'C81', '56']
['F39', 'D81', '57']
['G39', 'E81', '58']
['H39', 'F81', '59']
['A40', 'G81', '60']
['B40', 'H81', '61']
['C40', 'A82', '62']
['D40', 'B82', '63']
['E40', 'C82', '64']
['F40', 'D82', '65']
['G40', '66', '48']
['H40', 'F82', '67']
['G82', '68', 'E82']
['B41', 'H82', '69']
['C41', 'A83', '70']
['D41', 'B83', '71']
['E41', 'C83', 'G41']
['F41', 'A41']
