['0lala', '50lala', '100lala', '150lala', '200lala', '250lala', '300lala', '350lala', '400lala', '450lala', '500lala', '550lala', '600lala', '650lala', '700lala', '750lala', '800lala', '850lala', '900lala', '950lala']
['11lala', '61lala', '111lala', '161lala', '211lala', '261lala', '311lala', '361lala', '411lala', '461lala', '511lala', '561lala', '611lala', '661lala', '711lala', '761lala', '811lala', '861lala', '911lala', '961lala']
['12lala', '62lala', '112lala', '162lala', '212lala', '262lala', '312lala', '362lala', '412lala', '462lala', '512lala', '562lala', '612lala', '662lala', '712lala', '762lala', '812lala', '862lala', '912lala', '962lala']
['13lala', '63lala', '113lala', '163lala', '213lala', '263lala', '313lala', '363lala', '413lala', '463lala', '513lala', '563lala', '613lala', '663lala', '713lala', '763lala', '813lala', '863lala', '913lala', '963lala']
['14lala', '64lala', '114lala', '164lala', '214lala', '264lala', '314lala', '364lala', '414lala', '464lala', '514lala', '564lala', '614lala', '664lala', '714lala', '764lala', '814lala', '864lala', '914lala', '964lala']
['15lala', '65lala', '115lala', '165lala', '215lala', '265lala', '315lala', '365lala', '415lala', '465lala', '515lala', '565lala', '615lala', '665lala', '715lala', '765lala', '815lala', '865lala', '915lala', '965lala']
['16lala', '66lala', '116lala', '166lala', '216lala', '266lala', '316lala', '366lala', '416lala', '466lala', '516lala', '566lala', '616lala', '666lala', '716lala', '766lala', '816lala', '866lala', '916lala', '966lala']
['17lala', '67lala', '117lala', '167lala', '217lala', '267lala', '317lala', '367lala', '417lala', '467lala', '517lala', '567lala', '617lala', '667lala', '717lala', '767lala', '817lala', '867lala', '917lala', '967lala']
['18lala', '68lala', '118lala', '168lala', '218lala', '268lala', '318lala', '368lala', '418lala', '468lala', '518lala', '568lala', '618lala', '668lala', '718lala', '768lala', '818lala', '868lala', '918lala', '968lala']
['19lala', '69lala', '119lala', '169lala', '219lala', '269lala', '319lala', '369lala', '419lala', '469lala', '519lala', '569lala', '619lala', '669lala', '719lala', '769lala', '819lala', '869lala', '919lala', '969lala']
['20lala', '70lala', '120lala', '170lala', '220lala', '270lala', '320lala', '370lala', '420lala', '470lala', '520lala', '570lala', '620lala', '670lala', '720lala', '770lala', '820lala', '870lala', '920lala', '970lala']
['21lala', '71lala', '121lala', '171lala', '221lala', '271lala', '321lala', '371lala', '421lala', '471lala', '521lala', '571lala', '621lala', '671lala', '721lala', '771lala', '821lala', '871lala', '921lala', '971lala']
['22lala', '72lala', '122lala', '172lala', '222lala', '272lala', '322lala', '372lala', '422lala', '472lala', '522lala', '572lala', '622lala', '672lala', '722lala', '772lala', '822lala', '872lala', '922lala', '972lala']
['23lala', '73lala', '123lala', '173lala', '223lala', '273lala', '323lala', '373lala', '423lala', '473lala', '523lala', '573lala', '623lala', '673lala', '723lala', '773lala', '823lala', '873lala', '923lala', '973lala']
['24lala', '74lala', '124lala', '174lala', '224lala', '274lala', '324lala', '374lala', '424lala', '474lala', '524lala', '574lala', '624lala', '674lala', '724lala', '774lala', '824lala', '874lala', '924lala', '974lala']
['25lala', '75lala', '125lala', '175lala', '225lala', '275lala', '325lala', '375lala', '425lala', '475lala', '525lala', '575lala', '625lala', '675lala', '725lala', '775lala', '825lala', '875lala', '925lala', '975lala']
['26lala', '76lala', '126lala', '176lala', '226lala', '276lala', '326lala', '376lala', '426lala', '476lala', '526lala', '576lala', '626lala', '676lala', '726lala', '776lala', '826lala', '876lala', '926lala', '976lala']
['27lala', '77lala', '127lala', '177lala', '227lala', '277lala', '327lala', '377lala', '427lala', '477lala', '527lala', '577lala', '627lala', '677lala', '727lala', '777lala', '827lala', '877lala', '927lala', '977lala']
['28lala', '78lala', '128lala', '178lala', '228lala', '278lala', '328lala', '378lala', '428lala', '478lala', '528lala', '578lala', '628lala', '678lala', '728lala', '778lala', '828lala', '878lala', '928lala', '978lala']
['29lala', '79lala', '129lala', '179lala', '229lala', '279lala', '329lala', '379lala', '429lala', '479lala', '529lala', '579lala', '629lala', '679lala', '729lala', '779lala', '829lala', '879lala', '929lala', '979lala']
['30lala', '80lala', '130lala', '180lala', '230lala', '280lala', '330lala', '380lala', '430lala', '480lala', '530lala', '580lala', '630lala', '680lala', '730lala', '780lala', '830lala', '880lala', '930lala', '980lala']
['31lala', '81lala', '131lala', '181lala', '231lala', '281lala', '331lala', '381lala', '431lala', '481lala', '531lala', '581lala', '631lala', '681lala', '731lala', '781lala', '831lala', '881lala', '931lala', '981lala']
['32lala', '82lala', '132lala', '182lala', '232lala', '282lala', '332lala', '382lala', '432lala', '482lala', '532lala', '582lala', '632lala', '682lala', '732lala', '782lala', '832lala', '882lala', '932lala', '982lala']
['33lala', '83lala', '133lala', '183lala', '233lala', '283lala', '333lala', '383lala', '433lala', '483lala', '533lala', '583lala', '633lala', '683lala', '733lala', '783lala', '833lala', '883lala', '933lala', '983lala']
['34lala', '84lala', '134lala', '184lala', '234lala', '284lala', '334lala', '384lala', '434lala', '484lala', '534lala', '584lala', '634lala', '684lala', '734lala', '784lala', '834lala', '884lala', '934lala', '984lala']
['35lala', '85lala', '135lala', '185lala', '235lala', '285lala', '335lala', '385lala', '435lala', '485lala', '535lala', '585lala', '635lala', '685lala', '735lala', '785lala', '835lala', '885lala', '935lala', '985lala']
['36lala', '86lala', '136lala', '186lala', '236lala', '286lala', '336lala', '386lala', '436lala', '486lala', '536lala', '586lala', '636lala', '686lala', '736lala', '786lala', '836lala', '886lala', '936lala', '986lala']
['37lala', '87lala', '137lala', '187lala', '237lala', '287lala', '337lala', '387lala', '437lala', '487lala', '537lala', '587lala', '637lala', '687lala', '737lala', '787lala', '837lala', '887lala', '937lala', '987lala']
['38lala', '88lala', '138lala', '188lala', '238lala', '288lala', '338lala', '388lala', '438lala', '488lala', '538lala', '588lala', '638lala', '688lala', '738lala', '788lala', '838lala', '888lala', '938lala', '988lala']
['39lala', '89lala', '139lala', '189lala', '239lala', '289lala', '339lala', '389lala', '439lala', '489lala', '539lala', '589lala', '639lala', '689lala', '739lala', '789lala', '839lala', '889lala', '939lala', '989lala']
['40lala', '90lala', '140lala', '190lala', '240lala', '290lala', '340lala', '390lala', '440lala', '490lala', '540lala', '590lala', '640lala', '690lala', '740lala', '790lala', '840lala', '890lala', '940lala', '990lala']
['41lala', '91lala', '141lala', '191lala', '241lala', '291lala', '341lala', '391lala', '441lala', '491lala', '541lala', '591lala', '641lala', '691lala', '741lala', '791lala', '841lala', '891lala', '941lala', '991lala']
['42lala', '92lala', '142lala', '192lala', '242lala', '292lala', '342lala', '392lala', '442lala', '492lala', '542lala', '592lala', '642lala', '692lala', '742lala', '792lala', '842lala', '892lala', '942lala', '992lala']
['43lala', '93lala', '143lala', '193lala', '243lala', '293lala', '343lala', '393lala', '443lala', '493lala', '543lala', '593lala', '643lala', '693lala', '743lala', '793lala', '843lala', '893lala', '943lala', '993lala']
['44lala', '94lala', '144lala', '194lala', '244lala', '294lala', '344lala', '394lala', '444lala', '494lala', '544lala', '594lala', '644lala', '694lala', '744lala', '794lala', '844lala', '894lala', '944lala', '994lala']
['45lala', '95lala', '145lala', '195lala', '245lala', '295lala', '345lala', '395lala', '445lala', '495lala', '545lala', '595lala', '645lala', '695lala', '745lala', '795lala', '845lala', '895lala', '945lala', '995lala']
['46lala', '96lala', '146lala', '196lala', '246lala', '296lala', '346lala', '396lala', '446lala', '496lala', '546lala', '596lala', '646lala', '696lala', '746lala', '796lala', '846lala', '896lala', '946lala', '996lala']
['47lala', '97lala', '147lala', '197lala', '247lala', '297lala', '347lala', '397lala', '447lala', '497lala', '547lala', '597lala', '647lala', '697lala', '747lala', '797lala', '847lala', '897lala', '947lala', '997lala']
['48lala', '98lala', '148lala', '198lala', '248lala', '298lala', '348lala', '398lala', '448lala', '498lala', '548lala', '598lala', '648lala', '698lala', '748lala', '798lala', '848lala', '898lala', '948lala', '998lala']
['49lala', '99lala', '149lala', '199lala', '249lala', '299lala', '349lala', '399lala', '449lala', '499lala', '549lala', '599lala', '649lala', '699lala', '749lala', '799lala', '849lala', '899lala', '949lala', '999lala']
