['0', '25', '50', '75', '100', '125', '150', '175', '200', '225', '250', '275', '300', '325', '350', '375', '400', '425', '450', '475', '500', '525', '550', '575', '600', '625', '650', '675', '700', '725', '750', '775', '800', '825', '850', '875', '900', '925', '950', '975']
['14', '39', '64', '89', '114', '139', '164', '189', '214', '239', '264', '289', '314', '339', '364', '389', '414', '439', '464', '489', '514', '539', '564', '589', '614', '639', '664', '689', '714', '739', '764', '789', '814', '839', '864', '889', '914', '939', '964', '989']
['15', '40', '65', '90', '115', '140', '165', '190', '215', '240', '265', '290', '315', '340', '365', '390', '415', '440', '465', '490', '515', '540', '565', '590', '615', '640', '665', '690', '715', '740', '765', '790', '815', '840', '865', '890', '915', '940', '965', '990']
['16', '41', '66', '91', '116', '141', '166', '191', '216', '241', '266', '291', '316', '341', '366', '391', '416', '441', '466', '491', '516', '541', '566', '591', '616', '641', '666', '691', '716', '741', '766', '791', '816', '841', '866', '891', '916', '941', '966', '991']
['17', '42', '67', '92', '117', '142', '167', '192', '217', '242', '267', '292', '317', '342', '367', '392', '417', '442', '467', '492', '517', '542', '567', '592', '617', '642', '667', '692', '717', '742', '767', '792', '817', '842', '867', '892', '917', '942', '967', '992']
['18', '43', '68', '93', '118', '143', '168', '193', '218', '243', '268', '293', '318', '343', '368', '393', '418', '443', '468', '493', '518', '543', '568', '593', '618', '643', '668', '693', '718', '743', '768', '793', '818', '843', '868', '893', '918', '943', '968', '993']
['19', '44', '69', '94', '119', '144', '169', '194', '219', '244', '269', '294', '319', '344', '369', '394', '419', '444', '469', '494', '519', '544', '569', '594', '619', '644', '669', '694', '719', '744', '769', '794', '819', '844', '869', '894', '919', '944', '969', '994']
['20', '45', '70', '95', '120', '145', '170', '195', '220', '245', '270', '295', '320', '345', '370', '395', '420', '445', '470', '495', '520', '545', '570', '595', '620', '645', '670', '695', '720', '745', '770', '795', '820', '845', '870', '895', '920', '945', '970', '995']
['21', '46', '71', '96', '121', '146', '171', '196', '221', '246', '271', '296', '321', '346', '371', '396', '421', '446', '471', '496', '521', '546', '571', '596', '621', '646', '671', '696', '721', '746', '771', '796', '821', '846', '871', '896', '921', '946', '971', '996']
['22', '47', '72', '97', '122', '147', '172', '197', '222', '247', '272', '297', '322', '347', '372', '397', '422', '447', '472', '497', '522', '547', '572', '597', '622', '647', '672', '697', '722', '747', '772', '797', '822', '847', '872', '897', '922', '947', '972', '997']
['23', '48', '73', '98', '123', '148', '173', '198', '223', '248', '273', '298', '323', '348', '373', '398', '423', '448', '473', '498', '523', '548', '573', '598', '623', '648', '673', '698', '723', '748', '773', '798', '823', '848', '873', '898', '923', '948', '973', '998']
['24', '49', '74', '99', '124', '149', '174', '199', '224', '249', '274', '299', '324', '349', '374', '399', '424', '449', '474', '499', '524', '549', '574', '599', '624', '649', '674', '699', '724', '749', '774', '799', '824', '849', '874', '899', '924', '949', '974', '999']
