['257', '929', '607', '13', '77', '399', '491', '544', '171', '840', '659', '313', '416', '462', '802', '611', '185', '833', '28', '176', '18', '670', '784', '124', '390', '774', '266', '597', '841', '639', '454']
['404', '431', '877', '617', '319', '114', '223', '273', '379', '716', '246', '275', '500', '405', '362', '144', '514', '107', '108', '586', '863', '5', '256', '151', '881', '884', '578', '39', '203', '261', '904']
['331', '199', '752', '175', '134', '230', '183', '307', '116', '609', '766', '12', '155', '817', '403', '295', '518', '937', '437', '29', '681', '37', '525', '541', '925', '754', '383', '488', '585', '8', '120']
['636', '647', '238', '599', '750', '722', '143', '711', '353', '735', '857', '528', '646', '4', '421', '856', '796', '486', '950', '717', '217', '719', '889', '783', '516', '805', '959', '507', '408', '439', '415']
['743', '852', '333', '99', '326', '484', '868', '519', '467', '673', '348', '298', '846', '620', '321', '43', '555', '685', '302', '91', '574', '473', '635', '558', '401', '329', '874', '410', '804', '441', '453']
['526', '78', '509', '886', '906', '714', '779', '35', '296', '10', '557', '897', '538', '470', '723', '287', '746', '386', '648', '181', '780', '54', '821', '916', '550', '848', '917', '596', '649', '234', '285']
['619', '184', '737', '354', '68', '803', '474', '624', '771', '166', '727', '730', '426', '512', '290', '42', '272', '741', '859', '645', '501', '165', '657', '83', '948', '389', '320', '198', '781', '938', '687']
['294', '342', '145', '918', '93', '678', '301', '109', '954', '683', '88', '159', '757', '434', '656', '725', '72', '264', '190', '820', '691', '130', '117', '240', '790', '468', '907', '414', '768', '664', '271']
['843', '482', '523', '960', '795', '387', '632', '953', '397', '556', '423', '7', '133', '279', '67', '19', '567', '739', '221', '631', '346', '608', '765', '517', '487', '665', '922', '553', '174', '542', '142']
['73', '745', '442', '880', '303', '844', '325', '118', '573', '885', '394', '393', '731', '606', '911', '534', '903', '188', '479', '170', '655', '318', '732', '682', '532', '466', '420', '915', '807', '773', '105']
['931', '898', '718', '373', '910', '127', '44', '593', '38', '135', '921', '548', '605', '304', '284', '101', '932', '262', '777', '489', '671', '930', '308', '485', '50', '76', '451', '508', '942', '895', '47']
['241', '213', '89', '866', '381', '48', '447', '196', '808', '695', '480', '457', '180', '947', '896', '150', '598', '836', '592', '147', '375', '322', '60', '449', '428', '493', '531', '936', '899', '838', '376']
['702', '448', '187', '941', '425', '511', '11', '274', '446', '785', '621', '281', '278', '352', '864', '912', '392', '945', '496', '902', '515', '138', '309', '944', '277', '236', '407', '70', '690', '341', '58']
['220', '197', '14', '827', '110', '481', '191', '890', '934', '337', '919', '125', '522', '726', '435', '300', '887', '666', '299', '763', '540', '674', '698', '350', '704', '715', '288', '168', '231', '207', '582']
['472', '824', '84', '356', '675', '627', '249', '351', '835', '495', '254', '478', '707', '842', '368', '594', '268', '293', '334', '202', '461', '178', '195', '492', '891', '16', '581', '535', '693', '96', '602']
['20', '951', '41', '106', '815', '400', '703', '463', '140', '433', '32', '559', '829', '644', '104', '440', '430', '422', '459', '169', '402', '85', '391', '875', '924', '51', '830', '551', '90', '62', '720']
['204', '566', '668', '471', '314', '69', '672', '219', '638', '905', '652', '580', '822', '3', '31', '744', '800', '212', '643', '676', '179', '772', '697', '102', '623', '575', '854', '920', '113', '206', '330']
['705', '742', '940', '952', '121', '909', '882', '568', '677', '327', '395', '669', '152', '194', '323', '80', '860', '660', '539', '506', '603', '794', '816', '21', '149', '543', '710', '228', '900', '590', '793']
['502', '563', '464', '64', '365', '552', '193', '1', '347', '349', '355', '367', '153', '729', '103', '377', '812', '549', '908', '537', '306', '243', '637', '335', '764', '894', '86', '630', '565', '26', '186']
['527', '591', '475', '63', '601', '545', '837', '782', '667', '957', '280', '267', '444', '156', '869', '9', '205', '358', '100', '778', '876', '137', '458', '359', '622', '595', '616', '396', '958', '27', '15']
['680', '892', '450', '427', '788', '832', '97', '189', '943', '888', '825', '818', '533', '167', '177', '154', '946', '787', '546', '587', '242', '529', '625', '282', '235', '265', '813', '724', '927', '914', '112']
