['SirJellyTheTrueVampireSniffer', 'QueenBarneyTheMightyDragonSniffer', 'DuchessShadowTheTrueVampireFinder', 'QueenFluffyTheMightyVampireEater', 'MasterTrinityTheHeroicDragonHunter', 'MasterBarneyTheHeroicVampireMaker', 'SirFluffyTheGreatMonsterHunter', 'MasterBarneyTheGreatDragonEater', 'MasterJellyTheGreatZombieHunter', 'QueenBeetleTheGreatMonsterFinder', 'DukeBeetleTheGreatMonsterSniffer', 'MasterFluffyTheTrueDragonMaker', 'SirSushiTheMightyZombieMaker', 'LordSushiTheTrueZombieSniffer', 'MadameShadowTheTrueMonsterMaker', 'LordBarneyTheHeroicVampireFinder', 'QueenSushiTheMightyRobotHunter', 'DukeBeetleTheHeroicRobotFinder', 'DukeBeetleTheHeroicDragonEater', 'QueenFluffyTheBraveDragonEater']
['QueenTrinityTheTrueMonsterMaker', 'MasterTrinityTheHeroicDragonMaker', 'QueenTrinityTheGreatMonsterHunter', 'SirSushiTheTrueRobotFinder', 'MadameBarneyTheGreatRobotEater', 'DukeTrinityTheGreatDragonFinder', 'SirJellyTheTrueDragonHunter', 'MadameSushiTheBraveRobotSniffer', 'MasterFluffyTheBraveRobotHunter', 'QueenBarneyTheGreatRobotEater', 'SirBarneyTheBraveVampireFinder', 'LordBarneyTheTrueDragonSniffer', 'MadameJellyTheBraveVampireHunter', 'SirTrinityTheMightyDragonMaker', 'QueenSushiTheTrueRobotMaker', 'SirShadowTheTrueVampireHunter', 'MasterFluffyTheTrueRobotMaker', 'DukeJellyTheGreatDragonHunter', 'MadameBarneyTheMightyZombieHunter', 'MasterFluffyTheMightyVampireSniffer']
['SirJellyTheTrueVampireFinder', 'MadameTrinityTheBraveMonsterSniffer', 'MadameSushiTheGreatVampireSniffer', 'DuchessJellyTheHeroicVampireMaker', 'SirJellyTheGreatZombieMaker', 'DukeShadowTheHeroicDragonEater', 'SirFluffyTheTrueRobotHunter', 'DuchessTrinityTheGreatMonsterFinder', 'QueenTrinityTheBraveMonsterHunter', 'MasterBeetleTheTrueVampireHunter', 'MasterBarneyTheGreatRobotFinder', 'LordJellyTheGreatRobotFinder', 'MasterSushiTheHeroicMonsterFinder', 'DukeJellyTheBraveDragonSniffer', 'MadameShadowTheGreatVampireEater', 'DuchessBeetleTheGreatZombieMaker', 'LordBarneyTheTrueMonsterFinder', 'SirSushiTheHeroicMonsterHunter', 'DukeShadowTheHeroicRobotFinder', 'MadameFluffyTheHeroicRobotSniffer']
['QueenSushiTheTrueVampireMaker', 'LordFluffyTheGreatMonsterHunter', 'QueenTrinityTheBraveRobotSniffer', 'MasterBeetleTheGreatDragonSniffer', 'LordJellyTheBraveMonsterFinder', 'MadameShadowTheMightyZombieFinder', 'DuchessBeetleTheHeroicZombieEater', 'SirShadowTheTrueVampireFinder', 'LordFluffyTheHeroicMonsterHunter', 'LordSushiTheTrueMonsterEater', 'SirTrinityTheMightyZombieEater', 'DuchessJellyTheHeroicRobotSniffer', 'MadameJellyTheBraveRobotSniffer', 'DukeSushiTheHeroicRobotSniffer', 'DukeBeetleTheMightyDragonHunter', 'LordTrinityTheBraveRobotMaker', 'MasterFluffyTheGreatMonsterFinder', 'DukeBarneyTheGreatMonsterHunter', 'SirBeetleTheHeroicDragonFinder', 'MadameFluffyTheGreatZombieEater']
['MadameSushiTheHeroicDragonEater', 'DukeSushiTheMightyVampireEater', 'MadameJellyTheHeroicDragonEater', 'SirTrinityTheTrueDragonEater', 'DuchessFluffyTheGreatRobotHunter', 'DukeBeetleTheTrueZombieFinder', 'MadameJellyTheBraveDragonHunter', 'QueenTrinityTheMightyVampireMaker', 'MadameTrinityTheGreatDragonSniffer', 'SirJellyTheGreatVampireHunter', 'LordJellyTheMightyRobotHunter', 'QueenSushiTheBraveDragonEater', 'MadameTrinityTheBraveMonsterEater', 'DukeBarneyTheMightyVampireHunter', 'DukeBarneyTheBraveRobotEater', 'DuchessShadowTheTrueDragonEater', 'QueenBarneyTheHeroicRobotSniffer', 'MasterBarneyTheMightyRobotSniffer', 'DukeJellyTheHeroicZombieFinder', 'MadameTrinityTheGreatZombieSniffer']
['MadameJellyTheTrueMonsterHunter', 'SirFluffyTheHeroicZombieSniffer', 'LordShadowTheBraveVampireFinder', 'LordBarneyTheMightyRobotFinder', 'LordShadowTheBraveZombieSniffer', 'MasterFluffyTheMightyMonsterMaker', 'DukeJellyTheHeroicRobotSniffer', 'MasterTrinityTheMightyVampireMaker', 'DuchessBarneyTheBraveMonsterEater', 'LordTrinityTheMightyDragonEater', 'DuchessBeetleTheHeroicZombieSniffer', 'QueenBeetleTheTrueDragonMaker', 'QueenJellyTheTrueZombieFinder', 'MasterShadowTheMightyZombieHunter', 'LordSushiTheHeroicRobotHunter', 'QueenFluffyTheTrueZombieFinder', 'DukeSushiTheBraveMonsterEater', 'MadameShadowTheHeroicDragonEater', 'DuchessTrinityTheMightyZombieFinder', 'MadameTrinityTheMightyZombieMaker']
['LordJellyTheMightyRobotEater', 'MasterJellyTheBraveDragonHunter', 'MasterTrinityTheBraveMonsterEater', 'DukeTrinityTheGreatDragonEater', 'DukeBeetleTheTrueMonsterEater', 'MadameShadowTheHeroicMonsterMaker', 'LordBarneyTheBraveVampireHunter', 'DukeShadowTheGreatMonsterEater', 'SirFluffyTheMightyZombieMaker', 'QueenShadowTheBraveVampireMaker', 'DukeShadowTheHeroicZombieEater', 'LordTrinityTheTrueDragonHunter', 'DukeShadowTheGreatZombieFinder', 'DuchessBeetleTheHeroicDragonSniffer', 'MadameShadowTheMightyDragonMaker', 'MasterJellyTheBraveRobotFinder', 'DukeShadowTheMightyRobotSniffer', 'DukeTrinityTheMightyRobotSniffer', 'MadameBeetleTheBraveMonsterEater', 'QueenSushiTheGreatVampireHunter']
['LordBeetleTheGreatZombieSniffer', 'DukeShadowTheBraveRobotHunter', 'DuchessShadowTheTrueZombieHunter', 'MadameShadowTheBraveRobotEater', 'SirShadowTheBraveZombieMaker', 'SirFluffyTheBraveZombieFinder', 'MasterBarneyTheHeroicZombieMaker', 'SirShadowTheMightyMonsterSniffer', 'SirFluffyTheBraveRobotHunter', 'MasterBarneyTheHeroicDragonEater', 'QueenBeetleTheHeroicMonsterEater', 'DukeFluffyTheBraveZombieSniffer', 'DukeSushiTheHeroicDragonEater', 'LordShadowTheMightyVampireMaker', 'QueenSushiTheBraveVampireSniffer', 'MadameShadowTheGreatZombieFinder', 'DukeSushiTheGreatRobotEater', 'DuchessBarneyTheMightyZombieEater', 'QueenBeetleTheTrueMonsterMaker', 'QueenShadowTheTrueRobotSniffer']
['SirBarneyTheBraveVampireMaker', 'QueenBeetleTheBraveMonsterMaker', 'SirShadowTheGreatDragonHunter', 'LordBeetleTheHeroicZombieFinder', 'SirSushiTheTrueRobotEater', 'DukeShadowTheBraveRobotFinder', 'QueenTrinityTheMightyZombieHunter', 'SirFluffyTheBraveMonsterSniffer', 'DukeFluffyTheHeroicVampireFinder', 'DukeBeetleTheHeroicMonsterFinder', 'MasterFluffyTheBraveDragonSniffer', 'MadameJellyTheTrueRobotFinder', 'MadameSushiTheBraveRobotFinder', 'MadameTrinityTheBraveDragonMaker', 'QueenFluffyTheTrueVampireFinder', 'DuchessSushiTheMightyDragonMaker', 'QueenJellyTheHeroicDragonSniffer', 'SirJellyTheMightyDragonHunter', 'MadameShadowTheTrueRobotSniffer', 'DuchessSushiTheTrueDragonFinder']
['SirBeetleTheTrueMonsterMaker', 'SirBeetleTheBraveZombieMaker', 'QueenTrinityTheBraveZombieFinder', 'SirTrinityTheGreatDragonFinder', 'MasterBeetleTheHeroicRobotMaker', 'QueenTrinityTheBraveVampireEater', 'MadameSushiTheBraveVampireSniffer', 'DukeBarneyTheTrueZombieEater', 'QueenTrinityTheHeroicRobotSniffer', 'SirSushiTheGreatRobotEater', 'MadameBarneyTheGreatDragonMaker', 'MadameTrinityTheTrueRobotMaker', 'LordSushiTheHeroicDragonFinder', 'LordFluffyTheMightyZombieSniffer', 'SirTrinityTheTrueRobotSniffer', 'DuchessFluffyTheMightyVampireMaker', 'DuchessSushiTheMightyMonsterFinder', 'LordTrinityTheBraveZombieEater', 'DukeFluffyTheMightyRobotFinder', 'QueenFluffyTheMightyVampireFinder']
['DukeBarneyTheGreatVampireHunter', 'SirBeetleTheMightyVampireFinder', 'DukeTrinityTheGreatDragonHunter', 'LordTrinityTheHeroicMonsterSniffer', 'QueenTrinityTheHeroicVampireMaker', 'LordShadowTheHeroicDragonSniffer', 'LordSushiTheBraveDragonSniffer', 'LordBeetleTheBraveDragonFinder', 'LordBarneyTheHeroicVampireHunter', 'QueenJellyTheHeroicVampireHunter', 'DukeSushiTheMightyVampireSniffer', 'QueenFluffyTheGreatZombieEater', 'QueenFluffyTheMightyDragonFinder', 'SirJellyTheTrueZombieFinder', 'DuchessBeetleTheTrueMonsterHunter', 'SirBeetleTheGreatDragonFinder', 'MasterShadowTheHeroicMonsterHunter', 'LordTrinityTheTrueZombieEater', 'DukeTrinityTheMightyDragonMaker', 'QueenJellyTheTrueRobotHunter']
['DuchessJellyTheTrueDragonHunter', 'MasterFluffyTheGreatDragonEater', 'MadameShadowTheGreatDragonEater', 'QueenTrinityTheHeroicDragonFinder', 'DukeBarneyTheHeroicZombieEater', 'QueenBeetleTheGreatDragonSniffer', 'DuchessBarneyTheBraveZombieHunter', 'MadameSushiTheHeroicZombieFinder', 'LordBeetleTheHeroicMonsterMaker', 'DuchessBeetleTheTrueZombieHunter', 'MasterBeetleTheTrueMonsterSniffer', 'DukeShadowTheBraveVampireEater', 'DuchessJellyTheGreatRobotSniffer', 'SirJellyTheMightyDragonMaker', 'MadameBeetleTheHeroicMonsterFinder', 'MadameBeetleTheHeroicDragonSniffer', 'LordJellyTheMightyRobotMaker', 'SirJellyTheBraveDragonHunter', 'DuchessBeetleTheHeroicRobotFinder', 'MasterSushiTheTrueZombieEater']
['SirBarneyTheTrueDragonMaker', 'SirFluffyTheTrueZombieHunter', 'SirTrinityTheGreatRobotFinder', 'DukeTrinityTheGreatMonsterEater', 'SirBeetleTheGreatZombieFinder', 'DukeShadowTheGreatDragonEater', 'QueenBarneyTheGreatVampireSniffer', 'DuchessFluffyTheBraveVampireSniffer', 'MadameShadowTheBraveVampireFinder', 'MadameFluffyTheTrueZombieFinder', 'QueenBarneyTheMightyDragonEater', 'MasterTrinityTheTrueZombieSniffer', 'LordBarneyTheTrueZombieHunter', 'SirTrinityTheMightyMonsterEater', 'DukeTrinityTheHeroicVampireMaker', 'LordJellyTheHeroicVampireMaker', 'MadameSushiTheHeroicMonsterFinder', 'DukeJellyTheMightyVampireFinder', 'SirTrinityTheGreatDragonSniffer', 'DukeBeetleTheBraveZombieFinder']
['QueenShadowTheBraveRobotEater', 'SirShadowTheMightyDragonMaker', 'DuchessBeetleTheMightyMonsterEater', 'SirBeetleTheGreatZombieEater', 'DukeShadowTheMightyVampireEater', 'LordSushiTheHeroicVampireMaker', 'SirShadowTheBraveMonsterMaker', 'QueenBeetleTheGreatDragonMaker', 'MasterBeetleTheBraveDragonSniffer', 'MasterFluffyTheMightyDragonMaker', 'SirFluffyTheGreatRobotHunter', 'DuchessJellyTheBraveDragonFinder', 'DuchessShadowTheBraveRobotFinder', 'SirBeetleTheTrueVampireMaker', 'MasterBeetleTheTrueRobotMaker', 'QueenBeetleTheGreatVampireMaker', 'SirTrinityTheTrueRobotFinder', 'DuchessSushiTheBraveMonsterSniffer', 'MadameBarneyTheBraveVampireEater', 'MasterFluffyTheBraveRobotEater']
['DukeBeetleTheHeroicVampireSniffer', 'MasterShadowTheBraveRobotEater', 'SirJellyTheHeroicMonsterMaker', 'MasterFluffyTheMightyRobotEater', 'MasterBeetleTheTrueZombieSniffer', 'MasterBarneyTheTrueZombieEater', 'QueenTrinityTheHeroicDragonHunter', 'LordSushiTheGreatDragonSniffer', 'LordBeetleTheGreatRobotSniffer', 'DuchessBeetleTheTrueZombieFinder', 'DukeBeetleTheTrueDragonHunter', 'DuchessBarneyTheTrueVampireMaker', 'SirJellyTheGreatRobotEater', 'LordTrinityTheTrueMonsterSniffer', 'QueenShadowTheHeroicMonsterMaker', 'MasterFluffyTheBraveVampireHunter', 'DuchessBarneyTheGreatDragonSniffer', 'QueenBeetleTheBraveVampireSniffer', 'DukeSushiTheMightyZombieHunter', 'QueenBeetleTheGreatZombieFinder']
['QueenBarneyTheMightyZombieEater', 'MasterJellyTheGreatDragonHunter', 'DuchessBarneyTheBraveZombieMaker', 'DukeFluffyTheMightyZombieFinder', 'LordJellyTheTrueMonsterMaker', 'DuchessBarneyTheGreatDragonMaker', 'QueenFluffyTheMightyRobotEater', 'LordFluffyTheTrueMonsterSniffer', 'QueenSushiTheTrueVampireEater', 'MasterSushiTheBraveDragonFinder', 'SirShadowTheTrueDragonEater', 'SirTrinityTheGreatVampireFinder', 'MasterJellyTheMightyVampireFinder', 'MasterSushiTheTrueMonsterMaker', 'DuchessBarneyTheTrueZombieEater', 'DuchessFluffyTheMightyDragonFinder', 'DukeFluffyTheBraveZombieEater', 'DukeFluffyTheMightyMonsterSniffer', 'DuchessShadowTheHeroicMonsterSniffer', 'DuchessJellyTheMightyMonsterMaker']
['DuchessBarneyTheMightyVampireFinder', 'MasterJellyTheTrueDragonMaker', 'MasterJellyTheMightyDragonFinder', 'MasterSushiTheHeroicRobotSniffer', 'MasterSushiTheMightyZombieHunter', 'QueenBarneyTheBraveMonsterHunter', 'QueenSushiTheHeroicVampireMaker', 'QueenBarneyTheGreatRobotFinder', 'MasterBeetleTheMightyDragonMaker', 'MadameBarneyTheMightyRobotHunter', 'MasterShadowTheTrueMonsterMaker', 'DuchessBarneyTheTrueDragonEater', 'QueenSushiTheBraveZombieHunter', 'SirTrinityTheTrueZombieSniffer', 'DuchessJellyTheGreatDragonMaker', 'MasterBeetleTheMightyDragonEater', 'MadameBarneyTheGreatZombieHunter', 'QueenShadowTheBraveZombieEater', 'DuchessSushiTheHeroicRobotFinder', 'LordFluffyTheTrueZombieEater']
['LordJellyTheTrueDragonEater', 'QueenShadowTheHeroicMonsterSniffer', 'DukeBeetleTheHeroicVampireFinder', 'DukeSushiTheTrueDragonFinder', 'QueenSushiTheMightyMonsterEater', 'SirShadowTheMightyDragonHunter', 'MasterJellyTheHeroicRobotHunter', 'LordFluffyTheBraveVampireHunter', 'DukeTrinityTheBraveMonsterMaker', 'DukeShadowTheBraveRobotEater', 'DukeShadowTheMightyDragonMaker', 'MadameFluffyTheTrueRobotMaker', 'QueenJellyTheGreatDragonMaker', 'LordSushiTheBraveDragonHunter', 'DuchessFluffyTheBraveMonsterFinder', 'MadameFluffyTheTrueDragonFinder', 'DuchessJellyTheGreatDragonEater', 'DukeBeetleTheMightyVampireSniffer', 'MadameShadowTheTrueRobotMaker', 'MasterJellyTheBraveRobotHunter']
['DuchessShadowTheBraveZombieHunter', 'MasterBeetleTheTrueMonsterFinder', 'MasterShadowTheHeroicMonsterSniffer', 'LordJellyTheBraveZombieEater', 'SirBarneyTheTrueVampireEater', 'QueenTrinityTheBraveMonsterFinder', 'DuchessTrinityTheGreatZombieFinder', 'MasterBarneyTheTrueMonsterMaker', 'DuchessShadowTheMightyMonsterSniffer', 'MasterTrinityTheMightyVampireEater', 'MasterShadowTheBraveMonsterFinder', 'QueenBarneyTheBraveRobotEater', 'DukeJellyTheGreatRobotMaker', 'MasterJellyTheBraveZombieHunter', 'SirShadowTheTrueZombieEater', 'DuchessSushiTheMightyZombieMaker', 'LordTrinityTheHeroicRobotMaker', 'DukeFluffyTheHeroicVampireSniffer', 'SirSushiTheMightyRobotEater', 'QueenBeetleTheMightyMonsterHunter']
['MasterTrinityTheMightyRobotSniffer', 'QueenFluffyTheBraveRobotFinder', 'MadameFluffyTheTrueVampireFinder', 'DukeTrinityTheHeroicRobotMaker', 'DukeJellyTheHeroicDragonHunter', 'DukeBeetleTheHeroicZombieMaker', 'SirBeetleTheBraveRobotHunter', 'DuchessBarneyTheTrueDragonMaker', 'LordBeetleTheMightyZombieSniffer', 'QueenBarneyTheTrueRobotFinder', 'SirTrinityTheMightyVampireHunter', 'MasterTrinityTheMightyMonsterFinder', 'DuchessShadowTheTrueRobotSniffer', 'MasterSushiTheTrueMonsterHunter', 'MadameJellyTheHeroicDragonSniffer', 'DuchessBeetleTheHeroicMonsterMaker', 'LordShadowTheHeroicVampireSniffer', 'DukeBeetleTheTrueMonsterHunter', 'DukeShadowTheMightyDragonSniffer', 'QueenFluffyTheMightyMonsterMaker']
['QueenBarneyTheHeroicZombieHunter', 'MasterBeetleTheMightyVampireSniffer', 'MasterJellyTheMightyRobotEater', 'DukeShadowTheBraveVampireHunter', 'DuchessBeetleTheBraveDragonEater', 'MasterBeetleTheTrueVampireMaker', 'SirShadowTheHeroicVampireEater', 'LordSushiTheHeroicRobotEater', 'SirShadowTheMightyZombieEater', 'MadameBarneyTheGreatMonsterSniffer', 'MasterSushiTheMightyZombieSniffer', 'MadameBarneyTheBraveRobotHunter', 'SirBarneyTheTrueRobotEater', 'LordBeetleTheTrueRobotSniffer', 'QueenJellyTheBraveDragonHunter', 'SirJellyTheBraveZombieSniffer', 'LordSushiTheTrueZombieFinder', 'DuchessSushiTheTrueZombieFinder', 'SirBarneyTheHeroicVampireHunter', 'LordShadowTheBraveRobotFinder']
['DuchessBeetleTheTrueDragonFinder', 'SirBarneyTheMightyRobotSniffer', 'MadameSushiTheGreatRobotFinder', 'DukeSushiTheGreatDragonSniffer', 'SirBeetleTheTrueRobotHunter', 'MasterFluffyTheHeroicMonsterEater', 'LordShadowTheBraveVampireHunter', 'DuchessBeetleTheGreatMonsterEater', 'DuchessFluffyTheBraveDragonHunter', 'MadameFluffyTheHeroicDragonMaker', 'DukeBeetleTheHeroicZombieSniffer', 'LordFluffyTheGreatVampireMaker', 'DukeShadowTheHeroicDragonMaker', 'DukeShadowTheBraveVampireFinder', 'MadameBarneyTheBraveRobotMaker', 'QueenJellyTheGreatMonsterMaker', 'MasterSushiTheBraveVampireFinder', 'SirTrinityTheHeroicDragonHunter', 'MasterBeetleTheHeroicMonsterHunter', 'QueenShadowTheMightyZombieFinder']
