['146', '177', '208', '256', '270', '301', '332', '384', '394', '425', '456', '512', '518', '549', '580', '640', '642', '673', '704', '735', '768', '797', '828', '859', '896', '921', '952', '983', '1024', '1045', '1076']
['161', '192', '223', '240', '285', '316', '347', '368', '409', '440', '471', '496', '533', '564', '595', '624', '657', '688', '719', '750', '783', '812', '843', '874', '911', '936', '967', '998', '1039', '1060', '1091']
['162', '193', '224', '241', '286', '317', '348', '369', '410', '441', '472', '497', '534', '565', '596', '625', '658', '689', '720', '751', '784', '813', '844', '875', '912', '937', '968', '999', '1040', '1061', '1092']
['163', '194', '225', '242', '287', '318', '349', '370', '411', '442', '473', '498', '535', '566', '597', '626', '659', '690', '721', '752', '785', '814', '845', '876', '913', '938', '969', '1000', '1041', '1062', '1093']
['164', '195', '226', '243', '288', '319', '350', '371', '412', '443', '474', '499', '536', '567', '598', '627', '660', '691', '722', '753', '786', '815', '846', '877', '914', '939', '970', '1001', '1042', '1063', '1094']
['165', '196', '227', '244', '289', '320', '351', '372', '413', '444', '475', '500', '537', '568', '599', '628', '661', '692', '723', '754', '787', '816', '847', '878', '915', '940', '971', '1002', '1043', '1064', '1095']
['166', '197', '228', '245', '290', '321', '352', '373', '414', '445', '476', '501', '538', '569', '600', '629', '662', '693', '724', '755', '788', '817', '848', '879', '916', '941', '972', '1003', '1044', '1065', '1096']
['167', '198', '229', '246', '291', '322', '353', '374', '415', '446', '477', '502', '539', '570', '601', '630', '663', '694', '725', '756', '789', '818', '849', '880', '917', '942', '973', '1004', '1014', '1066', '1097']
['168', '199', '230', '247', '292', '323', '354', '375', '416', '447', '478', '503', '540', '571', '602', '631', '664', '695', '726', '757', '790', '819', '850', '881', '918', '943', '974', '1005', '1015', '1067', '1098']
['169', '200', '231', '248', '293', '324', '355', '376', '417', '448', '479', '504', '541', '572', '603', '632', '665', '696', '727', '758', '791', '820', '851', '882', '919', '944', '975', '1006', '1016', '1068', '1099']
['170', '201', '232', '249', '294', '325', '356', '377', '418', '449', '480', '505', '542', '573', '604', '633', '666', '697', '728', '759', '792', '821', '852', '883', '920', '945', '976', '1007', '1017', '1069', '1100']
['171', '202', '233', '250', '295', '326', '357', '378', '419', '450', '481', '506', '543', '574', '605', '634', '667', '698', '729', '760', '793', '822', '853', '884', '890', '946', '977', '1008', '1018', '1070', '1101']
['172', '203', '234', '251', '296', '327', '358', '379', '420', '451', '482', '507', '544', '575', '606', '635', '668', '699', '730', '761', '794', '823', '854', '885', '891', '947', '978', '1009', '1019', '1071', '1102']
['173', '204', '235', '252', '297', '328', '359', '380', '421', '452', '483', '508', '545', '576', '607', '636', '669', '700', '731', '762', '795', '824', '855', '886', '892', '948', '979', '1010', '1020', '1072', '1103']
['174', '205', '236', '253', '298', '329', '360', '381', '422', '453', '484', '509', '546', '577', '608', '637', '670', '701', '732', '763', '796', '825', '856', '887', '893', '949', '980', '1011', '1021', '1073', '1104']
['175', '206', '237', '254', '299', '330', '361', '382', '423', '454', '485', '510', '547', '578', '609', '638', '671', '702', '733', '764', '766', '826', '857', '888', '894', '950', '981', '1012', '1022', '1074', '1105']
['176', '207', '238', '255', '300', '331', '362', '383', '424', '455', '486', '511', '548', '579', '610', '639', '672', '703', '734', '765', '767', '827', '858', '889', '895', '951', '982', '1013', '1023', '1075', '1106']
