['62', '47', '233', '234', '338', '411', '613', '529', '649', '696', '833', '803']
['54', '77', '186', '230', '462', '429', '517', '621', '712', '748', '923', '879']
['91', '44', '173', '219', '322', '399', '580', '532', '689', '639', '784', '810']
['132', '116', '224', '304', '392', '420', '509', '535', '693', '772', '836', '880']
['80', '67', '178', '231', '312', '402', '557', '503', '745', '690', '859', '928']
['137', '72', '177', '185', '330', '356', '572', '486', '726', '700', '783', '929']
['138', '136', '196', '162', '346', '447', '530', '561', '727', '709', '795', '821']
['96', '97', '184', '278', '381', '427', '583', '593', '714', '687', '785', '823']
['42', '90', '274', '206', '465', '432', '618', '608', '760', '765', '865', '790']
['82', '35', '172', '164', '380', '425', '512', '570', '756', '776', '813', '934']
['86', '107', '293', '238', '385', '349', '498', '476', '778', '717', '818', '781']
['29', '11', '187', '216', '345', '327', '589', '515', '664', '667', '806', '830']
['112', '92', '225', '195', '370', '454', '492', '553', '647', '669', '860', '853']
['7', '63', '282', '296', '387', '424', '505', '584', '658', '767', '926', '862']
['69', '19', '277', '289', '418', '464', '620', '585', '656', '627', '902', '920']
['22', '83', '253', '240', '421', '334', '473', '564', '705', '677', '877', '828']
['18', '151', '299', '264', '448', '401', '538', '481', '702', '646', '921', '820']
['135', '133', '259', '305', '415', '442', '528', '511', '742', '740', '882', '797']
['31', '154', '229', '222', '450', '449', '596', '609', '675', '725', '840', '871']
['102', '41', '214', '243', '325', '319', '611', '480', '768', '642', '909', '900']
['53', '71', '246', '270', '460', '354', '542', '575', '701', '657', '890', '891']
['101', '125', '188', '284', '466', '400', '525', '514', '684', '773', '922', '904']
['128', '118', '263', '267', '408', '342', '551', '579', '653', '663', '912', '872']
['111', '52', '163', '273', '410', '352', '519', '471', '732', '761', '866', '903']
['21', '3', '281', '191', '403', '355', '565', '485', '681', '641', '844', '807']
['119', '147', '235', '280', '377', '395', '554', '566', '643', '672', '780', '794']
['12', '123', '291', '272', '433', '413', '490', '499', '695', '722', '849', '889']
['14', '109', '181', '183', '365', '405', '544', '513', '662', '749', '917', '855']
['81', '8', '204', '194', '412', '456', '527', '482', '711', '777', '915', '932']
['76', '146', '208', '179', '390', '321', '506', '475', '757', '755', '873', '864']
