['878', '978', '226', '110', '688', '397', '552', '850', '173', '392', '51', '460', '867', '155', '478', '675', '941', '12', '303', '586']
['785', '164', '176', '40', '799', '563', '459', '753', '89', '319', '614', '993', '891', '65', '455', '163', '604', '765', '992', '270']
['531', '77', '323', '544', '183', '2', '749', '875', '855', '388', '809', '209', '516', '187', '329', '845', '506', '708', '233', '377']
['518', '897', '492', '775', '437', '426', '263', '791', '346', '541', '816', '375', '28', '129', '705', '272', '119', '970', '68', '238']
['64', '847', '786', '73', '696', '911', '261', '572', '501', '400', '615', '729', '338', '979', '383', '203', '328', '412', '63', '933']
['634', '461', '404', '245', '540', '104', '50', '445', '641', '701', '804', '851', '425', '872', '46', '364', '252', '639', '269', '709']
['315', '820', '7', '679', '420', '868', '610', '67', '95', '82', '210', '731', '213', '194', '225', '549', '476', '682', '930', '770']
['994', '764', '917', '724', '69', '350', '23', '571', '141', '413', '446', '384', '75', '81', '803', '611', '811', '76', '744', '128']
['914', '934', '716', '638', '464', '191', '766', '107', '590', '710', '278', '162', '132', '473', '219', '90', '422', '480', '387', '468']
['538', '748', '299', '874', '901', '743', '719', '504', '561', '938', '296', '776', '38', '700', '366', '947', '706', '659', '746', '171']
['582', '711', '280', '895', '912', '570', '584', '529', '565', '243', '11', '762', '214', '882', '513', '365', '360', '656', '192', '57']
['790', '717', '161', '318', '800', '991', '154', '156', '588', '488', '349', '382', '174', '690', '539', '517', '499', '677', '495', '503']
['475', '889', '248', '308', '84', '939', '293', '121', '936', '810', '684', '522', '984', '61', '36', '621', '439', '585', '591', '592']
['822', '306', '715', '722', '137', '124', '147', '232', '9', '640', '158', '666', '30', '579', '432', '945', '58', '13', '802', '139']
['557', '449', '910', '630', '342', '41', '314', '391', '674', '185', '959', '18', '427', '869', '483', '844', '20', '792', '900', '589']
['935', '26', '465', '39', '944', '689', '932', '396', '411', '78', '643', '645', '852', '511', '644', '470', '825', '555', '598', '450']
['726', '122', '919', '648', '819', '849', '151', '376', '778', '337', '485', '0', '962', '47', '996', '736', '642', '373', '808', '268']
['49', '843', '599', '523', '619', '257', '515', '271', '186', '399', '833', '734', '220', '573', '747', '357', '784', '602', '88', '486']
['567', '215', '287', '179', '367', '234', '443', '3', '508', '884', '548', '600', '32', '723', '283', '381', '66', '390', '550', '807']
['798', '745', '202', '631', '458', '282', '757', '292', '53', '806', '885', '438', '228', '609', '587', '356', '453', '536', '957', '577']
['385', '862', '433', '982', '771', '524', '498', '52', '759', '351', '142', '858', '254', '636', '8', '663', '120', '754', '406', '177']
['92', '100', '436', '201', '402', '146', '569', '62', '4', '1', '575', '654', '48', '362', '111', '756', '829', '578', '622', '832']
['925', '224', '407', '266', '879', '773', '920', '321', '923', '199', '535', '926', '423', '854', '953', '474', '197', '341', '608', '153']
['864', '289', '409', '403', '632', '494', '625', '325', '72', '115', '127', '528', '966', '379', '419', '787', '125', '894', '559', '140']
['428', '562', '302', '340', '836', '988', '669', '837', '888', '949', '627', '500', '831', '998', '144', '150', '616', '106', '921', '25']
['393', '898', '846', '718', '680', '902', '322', '963', '951', '117', '295', '198', '227', '131', '683', '661', '653', '5', '892', '649']
['97', '794', '307', '42', '519', '971', '353', '750', '79', '678', '533', '123', '138', '31', '429', '477', '37', '451', '221', '247']
