['510', '788', '479', '433', '830', '219', '908', '309', '653', '493', '907', '735', '752', '697', '692', '394', '554', '373', '495', '748']
['74', '812', '267', '823', '921', '687', '962', '551', '771', '945', '610', '684', '283', '35', '631', '919', '18', '464', '775', '84']
['259', '168', '949', '65', '799', '124', '549', '762', '182', '525', '533', '378', '715', '69', '154', '839', '544', '818', '85', '392']
['937', '994', '42', '910', '334', '584', '32', '730', '625', '144', '82', '215', '139', '443', '175', '311', '530', '652', '689', '17']
['156', '734', '198', '972', '478', '379', '745', '170', '709', '899', '889', '149', '477', '777', '21', '755', '785', '948', '884', '435']
['195', '3', '280', '708', '723', '114', '366', '122', '887', '64', '485', '539', '681', '241', '347', '489', '395', '731', '318', '332']
['658', '852', '640', '444', '633', '363', '885', '193', '415', '859', '877', '742', '300', '221', '780', '204', '125', '860', '967', '103']
['428', '968', '307', '789', '800', '159', '579', '974', '432', '654', '792', '295', '243', '518', '425', '329', '262', '761', '22', '312']
['173', '357', '548', '542', '982', '856', '452', '462', '819', '472', '959', '174', '45', '249', '115', '44', '543', '450', '574', '890']
['237', '315', '344', '385', '882', '595', '37', '580', '986', '705', '148', '727', '106', '685', '232', '134', '776', '496', '783', '167']
['955', '7', '925', '596', '987', '598', '26', '118', '97', '939', '352', '978', '995', '607', '38', '878', '521', '391', '360', '58']
['412', '340', '252', '9', '161', '846', '804', '589', '698', '508', '600', '606', '176', '691', '854', '822', '98', '480', '605', '264']
['419', '483', '104', '25', '299', '636', '466', '223', '229', '597', '467', '834', '445', '626', '351', '601', '966', '371', '87', '335']
['50', '240', '824', '29', '701', '671', '430', '227', '553', '831', '534', '281', '0', '290', '527', '319', '317', '991', '126', '183']
['714', '442', '713', '808', '983', '772', '354', '438', '402', '56', '514', '798', '55', '216', '288', '739', '355', '95', '615', '60']
['181', '356', '646', '719', '669', '847', '726', '803', '795', '576', '153', '881', '470', '399', '764', '903', '963', '591', '515', '66']
['699', '77', '570', '893', '537', '446', '770', '263', '932', '875', '205', '911', '384', '760', '358', '147', '475', '234', '657', '383']
['225', '811', '231', '844', '16', '712', '253', '492', '353', '474', '693', '581', '163', '545', '586', '694', '301', '981', '217', '934']
['400', '49', '622', '146', '750', '583', '874', '943', '820', '512', '120', '274', '248', '133', '401', '774', '873', '604', '135', '904']
['53', '463', '676', '637', '923', '620', '797', '647', '421', '186', '397', '721', '853', '184', '957', '275', '519', '61', '112', '956']
['532', '915', '451', '11', '434', '969', '946', '129', '672', '628', '128', '754', '31', '427', '952', '732', '337', '284', '505', '498']
['828', '555', '276', '696', '68', '239', '292', '833', '101', '13', '835', '511', '815', '531', '599', '486', '588', '407', '169', '805']
['386', '914', '998', '441', '503', '266', '403', '230', '855', '862', '246', '4', '287', '720', '80', '611', '722', '238', '826', '54']
