['425', '178', '560', '423', '825', '715', '402', '534', '515', '393']
['303', '699', '648', '136', '562', '361', '660', '726', '994', '973']
['297', '89', '203', '186', '517', '954', '803', '526', '528', '221']
['189', '527', '745', '214', '424', '847', '185', '511', '165', '15']
['412', '525', '451', '655', '106', '789', '790', '851', '552', '827']
['841', '743', '701', '231', '404', '766', '85', '813', '783', '159']
['143', '430', '535', '703', '90', '950', '124', '848', '962', '767']
['476', '500', '427', '914', '419', '92', '861', '616', '434', '874']
['27', '401', '970', '76', '410', '244', '553', '258', '482', '850']
['672', '122', '392', '219', '670', '276', '584', '86', '599', '829']
['190', '389', '172', '557', '238', '49', '595', '197', '21', '367']
['226', '756', '891', '935', '698', '936', '35', '293', '593', '750']
['800', '746', '59', '71', '625', '474', '913', '911', '760', '725']
['753', '209', '137', '283', '680', '319', '643', '894', '128', '351']
['355', '683', '752', '215', '609', '302', '668', '837', '828', '183']
['3', '754', '473', '110', '634', '364', '23', '490', '438', '481']
['953', '855', '467', '93', '349', '647', '971', '885', '437', '929']
['808', '77', '5', '10', '112', '594', '807', '151', '60', '348']
['949', '963', '882', '161', '784', '510', '340', '87', '407', '504']
['350', '79', '495', '650', '48', '695', '739', '489', '321', '409']
['141', '899', '792', '145', '61', '632', '400', '868', '999', '7']
['450', '460', '68', '720', '440', '459', '775', '693', '6', '567']
['762', '679', '443', '661', '119', '764', '493', '880', '469', '499']
['717', '338', '659', '475', '381', '120', '806', '563', '755', '580']
['269', '153', '421', '677', '674', '870', '686', '773', '889', '436']
['187', '406', '759', '398', '354', '301', '704', '823', '585', '150']
['707', '653', '758', '30', '17', '196', '561', '788', '111', '623']
['985', '872', '763', '394', '230', '180', '723', '63', '547', '204']
['794', '232', '590', '787', '12', '924', '309', '896', '370', '270']
['243', '947', '9', '479', '830', '326', '147', '300', '422', '416']
['157', '46', '536', '873', '908', '605', '256', '88', '583', '871']
['212', '834', '208', '26', '104', '957', '224', '597', '565', '901']
['366', '716', '330', '548', '900', '544', '444', '279', '916', '822']
['131', '210', '248', '480', '890', '168', '765', '576', '20', '682']
['931', '772', '644', '201', '884', '903', '234', '452', '742', '718']
['748', '664', '466', '328', '681', '97', '540', '902', '690', '130']
['107', '638', '237', '195', '620', '173', '127', '472', '937', '751']
['904', '996', '315', '983', '863', '217', '142', '275', '944', '877']
['997', '192', '735', '184', '156', '1', '379', '99', '990', '856']
['418', '465', '925', '866', '84', '512', '415', '312', '782', '934']
['103', '887', '989', '665', '39', '702', '372', '581', '799', '257']
['345', '288', '264', '998', '826', '254', '835', '91', '286', '780']
['228', '607', '531', '375', '892', '972', '942', '80', '278', '649']
['569', '292', '266', '592', '4', '564', '573', '281', '635', '558']
['125', '457', '158', '951', '831', '685', '108', '696', '253', '846']
['376', '842', '322', '70', '149', '371', '722', '126', '69', '193']
['987', '785', '335', '456', '771', '666', '832', '259', '0', '174']
['978', '551', '603', '105', '72', '359', '336', '432', '96', '494']
['470', '881', '684', '927', '786', '532', '993', '146', '420', '365']
['542', '673', '956', '810', '938', '163', '135', '639', '550', '2']
['898', '711', '862', '382', '98', '235', '408', '67', '740', '926']
['729', '612', '66', '867', '449', '19', '943', '945', '260', '640']
['225', '736', '462', '624', '426', '859', '52', '697', '713', '568']
