['161', '914', '718', '452', '179']
['116', '262', '916', '527', '884']
['317', '924', '416', '320', '146']
['751', '593', '235', '255', '330']
['747', '467', '435', '292', '981']
['62', '492', '381', '303', '595']
['652', '692', '456', '104', '685']
['597', '766', '701', '299', '384']
['426', '535', '115', '46', '56']
['779', '939', '707', '573', '38']
['925', '902', '989', '615', '437']
['89', '675', '99', '987', '544']
['267', '817', '518', '227', '690']
['907', '545', '207', '713', '187']
['124', '668', '16', '749', '215']
['740', '625', '988', '8', '133']
['629', '746', '75', '495', '683']
['813', '805', '631', '759', '352']
['298', '53', '39', '585', '661']
['210', '975', '254', '510', '634']
['168', '297', '843', '976', '900']
['619', '794', '575', '789', '489']
['710', '430', '368', '775', '671']
['160', '532', '922', '887', '142']
['195', '898', '441', '167', '762']
['360', '727', '771', '600', '811']
['673', '363', '845', '594', '341']
['334', '19', '645', '827', '499']
['799', '776', '252', '369', '650']
['422', '996', '578', '755', '977']
['851', '17', '798', '831', '249']
['826', '331', '872', '387', '388']
['895', '947', '222', '852', '547']
['122', '485', '357', '946', '847']
['309', '65', '866', '911', '903']
['583', '461', '970', '548', '546']
['257', '141', '501', '253', '275']
['896', '397', '314', '434', '81']
['932', '882', '136', '386', '350']
['705', '795', '193', '14', '927']
['500', '936', '63', '329', '698']
['358', '487', '261', '565', '414']
['602', '646', '822', '269', '883']
['733', '592', '559', '566', '202']
['230', '674', '30', '711', '550']
['353', '143', '433', '581', '251']
['820', '220', '994', '742', '9']
['7', '706', '134', '761', '109']
['979', '735', '34', '48', '529']
['665', '928', '76', '421', '154']
['35', '497', '637', '490', '445']
['447', '153', '935', '233', '857']
['18', '551', '649', '731', '294']
['943', '396', '411', '50', '103']
['287', '4', '930', '27', '677']
['502', '920', '392', '271', '654']
['579', '224', '892', '347', '336']
['815', '985', '305', '219', '737']
['83', '78', '543', '268', '119']
['658', '934', '197', '409', '842']
['419', '915', '486', '858', '955']
['613', '986', '918', '165', '466']
['232', '393', '659', '234', '717']
['106', '870', '777', '670', '201']
['793', '792', '181', '229', '356']
['824', '364', '189', '246', '604']
['488', '12', '687', '612', '998']
['957', '686', '379', '273', '121']
['33', '558', '628', '760', '524']
['11', '774', '5', '607', '810']
['498', '420', '135', '992', '113']
['107', '785', '448', '464', '471']
['301', '214', '453', '239', '217']
['750', '147', '534', '372', '704']
['861', '620', '93', '481', '483']
['391', '408', '854', '460', '295']
['274', '74', '326', '68', '130']
['833', '359', '348', '964', '830']
['956', '403', '700', '694', '205']
['306', '840', '429', '73', '846']
['355', '157', '599', '184', '376']
['991', '316', '770', '439', '140']
['280', '838', '244', '787', '941']
['856', '276', '990', '60', '905']
['553', '458', '365', '601', '270']
['131', '784', '522', '669', '289']
['323', '238', '221', '349', '702']
['114', '192', '84', '125', '281']
['158', '226', '69', '636', '20']
['873', '536', '542', '621', '950']
['933', '82', '968', '949', '451']
['407', '208', '484', '790', '839']
['818', '796', '169', '614', '231']
['129', '148', '172', '572', '218']
['736', '647', '108', '722', '277']
['997', '468', '52', '55', '44']
['206', '450', '94', '91', '42']
['589', '188', '3', '300', '978']
['568', '266', '738', '418', '984']
['651', '617', '758', '644', '216']
['574', '888', '640', '457', '431']
['97', '318', '493', '284', '780']
['693', '917', '325', '322', '931']
['86', '88', '937', '596', '841']
['340', '321', '118', '162', '373']
['756', '781', '307', '913', '689']
['278', '879', '660', '618', '562']
['328', '412', '95', '442', '837']
