['798', '12', '351']
['548', '887', '591']
['802', '70', '572']
['574', '467', '846']
['557', '653', '777']
['289', '10', '249']
['455', '318', '292']
['544', '29', '189']
['260', '25', '478']
['413', '364', '137']
['598', '627', '897']
['81', '558', '995']
['246', '43', '444']
['281', '840', '630']
['187', '790', '464']
['276', '191', '523']
['34', '932', '862']
['143', '639', '11']
['353', '115', '520']
['561', '421', '171']
['747', '774', '477']
['667', '547', '611']
['509', '744', '580']
['600', '751', '401']
['870', '474', '334']
['340', '418', '540']
['913', '924', '610']
['759', '446', '158']
['79', '865', '360']
['213', '506', '331']
['343', '470', '485']
['372', '183', '793']
['584', '64', '881']
['75', '719', '903']
['538', '743', '725']
['501', '86', '2']
['404', '583', '40']
['760', '786', '811']
['512', '103', '486']
['227', '816', '496']
['962', '429', '456']
['616', '303', '661']
['585', '958', '47']
['218', '165', '104']
['389', '94', '539']
['270', '489', '390']
['245', '466', '972']
['80', '858', '515']
['236', '641', '593']
['130', '948', '60']
['432', '970', '909']
['689', '261', '933']
['864', '42', '737']
['823', '155', '488']
['22', '892', '812']
['99', '517', '742']
['925', '632', '526']
['890', '872', '211']
['124', '409', '672']
['468', '339', '994']
['645', '564', '893']
['946', '963', '636']
['394', '861', '387']
['868', '778', '605']
['347', '536', '307']
['440', '435', '882']
['233', '522', '500']
['671', '98', '866']
['57', '755', '358']
['403', '490', '300']
['891', '476', '393']
['361', '875', '826']
['44', '697', '91']
['229', '8', '275']
['904', '170', '430']
['984', '797', '514']
['563', '146', '776']
['582', '49', '698']
['899', '388', '979']
['525', '161', '222']
['805', '45', '699']
['341', '38', '519']
['330', '3', '801']
['391', '135', '15']
['4', '723', '368']
['131', '867', '305']
['151', '658', '721']
['346', '188', '524']
['694', '703', '941']
['133', '327', '219']
['395', '550', '338']
['499', '77', '955']
['898', '902', '673']
['711', '335', '460']
['885', '590', '355']
['385', '713', '154']
['869', '768']
['738', '278', '863']
['749', '615', '441']
['217', '312', '740']
['144', '920', '139']
['255', '669', '735']
['399', '259', '852']
['427', '17', '968']
['929', '889', '834']
['621', '733', '253']
['452', '629', '670']
['964', '145', '996']
['761', '274', '329']
['770', '949', '109']
['166', '662', '454']
['837', '978', '320']
['5', '710', '121']
['643', '156', '531']
['587', '7', '31']
['141', '411', '178']
['129', '980', '545']
['9', '277', '386']
['72', '377', '479']
['624', '357', '843']
['313', '203', '439']
['782', '483', '825']
['149', '6', '829']
['934', '832', '293']
['741', '982', '734']
['960', '37', '304']
['728', '799', '147']
['322', '691', '182']
['562', '63', '985']
['196', '495', '681']
['819', '107', '505']
['134', '565', '791']
['311', '684', '542']
['193', '603', '66']
['174', '780', '497']
['795', '184', '789']
['110', '226', '706']
['705', '262', '216']
['808', '375', '668']
['991', '119', '224']
['123', '54', '336']
['263', '381', '936']
['758', '140', '690']
['125', '911', '884']
['190', '350', '328']
['426', '841', '921']
['529', '101', '462']
['32', '200', '657']
['142', '374', '785']
['127', '487', '646']
['194', '772', '999']
['930', '359', '714']
['285', '729', '959']
['914', '402', '376']
['272', '53', '480']
['779', '947', '55']
['112', '655', '626']
['298', '264', '628']
['471', '609', '859']
['344', '475', '482']
['279', '939', '695']
['416', '762', '666']
['136', '712', '167']
['896', '78', '437']
['378', '552', '537']
['436', '730', '491']
['704', '50', '348']
['732', '750']
